gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
Aktip,0.846487491,5.567737263,3.715567344,0.004134367,0.387239231,-1.811857522
Zfp967,0.732166507,3.739893387,3.711470252,0.004162066,0.387239231,-1.74115419
Gm28438,0.769790426,10.09119386,3.707123396,0.004191666,0.387239231,-1.844775093
Nudc,0.6160348,5.218587446,3.705968412,0.004199567,0.387239231,-1.816456815
Anp32a,0.591723177,6.398288325,3.705007948,0.00420615,0.387239231,-1.845387234
Lrrc7,2.282806825,3.576487528,3.68057342,0.004377289,0.387239231,-1.779845613
Sms-ps,0.748286818,3.830881356,3.663863545,0.004498495,0.387239231,-1.819209788
Ppp1r3c,1.030256029,6.876112656,3.660277328,0.004524961,0.387239231,-1.922523086
Kcnab2,2.268421983,-0.156055199,3.638340457,0.004690425,0.387239231,-2.188467545
Rad50,0.654101683,3.961215808,3.634142377,0.004722803,0.387239231,-1.872279737
H2afv,0.72197641,5.259231688,3.625573288,0.004789616,0.387239231,-1.944845905
Eid1,0.563473987,5.717893755,3.595929197,0.005028441,0.387239231,-2.00555959
Fat2,1.874837646,-0.029335396,3.593611814,0.005047626,0.387239231,-2.190787475
Srp54b,2.246392495,1.018497272,3.584157833,0.005126685,0.387239231,-1.947785249
Zfp106,0.668050591,7.648834433,3.580470541,0.005157868,0.387239231,-2.056073143
Cstdc4,2.310188304,0.336140813,3.576036189,0.00519563,0.387239231,-2.100414807
Nemp1,1.606601547,1.764029537,3.572721223,0.005224048,0.387239231,-1.89506831
Gm48774,1.976283466,1.042871221,3.568853941,0.005257405,0.387239231,-1.963589146
Gm48054,1.206520553,3.055211144,3.566153038,0.005280832,0.387239231,-1.926071157
Hoxb3,2.634449519,-0.785136328,3.555272414,0.005376315,0.387239231,-2.497139862
Zranb3,0.98970455,1.840352555,3.554920413,0.005379434,0.387239231,-1.91725369
Vmn2r55,2.05007486,0.143766326,3.529641037,0.005608403,0.387239231,-2.205199991
Gm47331,1.222350426,2.690670568,3.526357644,0.005638877,0.387239231,-1.968529086
Eif3a,0.604293775,8.069279077,3.526265867,0.005639731,0.387239231,-2.144629062
Cdk15,2.29742863,0.234408988,3.516992226,0.005726747,0.387239231,-2.193702617
Gm48417,1.043257916,3.416355763,3.511954321,0.005774602,0.387239231,-2.029555568
Gm48119,1.362967251,5.233240363,3.511265924,0.005781173,0.387239231,-2.125602495
2510002D24Rik,0.877162599,3.910298305,3.508051302,0.005811962,0.387239231,-2.065708064
Gtf3c6,0.71075193,4.781932734,3.504904459,0.005842266,0.387239231,-2.117092507
2310009A05Rik,0.749887376,5.311475943,3.500236615,0.00588752,0.387239231,-2.14598758
Zfp965,0.827909985,4.176800674,3.489916138,0.005988871,0.387239231,-2.109627193
St8sia2,3.521355465,-0.994790977,3.485599075,0.006031802,0.387239231,-2.634819434
Rasgrf1,2.006804206,-0.030028324,3.479957892,0.006088381,0.387239231,-2.309231386
Zfp970,0.827652825,6.75875161,3.470004684,0.006189556,0.387239231,-2.226071553
Mif,0.706159005,4.860111981,3.445875838,0.006442124,0.387239231,-2.214585433
C330022B21Rik,1.574438131,0.351282689,3.429484476,0.006619771,0.387239231,-2.262664916
Gm47933,1.474075263,2.983926421,3.428870522,0.006626523,0.387239231,-2.130517546
Igf2bp2,1.727120305,0.273672874,3.422370904,0.006698438,0.387239231,-2.28932466
Cenpi,2.14617809,1.109553237,3.420709936,0.006716945,0.387239231,-2.145839525
Rpl7l1,0.684094024,4.411041552,3.411629615,0.006819061,0.387239231,-2.246331756
Trim9,2.18267204,-0.63165905,3.410218746,0.006835071,0.387239231,-2.570985543
Ndufaf8,0.673768592,3.710667855,3.408625923,0.006853193,0.387239231,-2.208676653
Slc5a3,0.920455748,3.004435497,3.397591248,0.006980107,0.387239231,-2.179454284
Tmem126b,0.710765646,5.380651539,3.375393011,0.007242835,0.387239231,-2.348322483
Vmn1r18,1.298325864,1.627300814,3.36492172,0.007370295,0.387239231,-2.188016088
Hnrnph3,0.616949591,4.932767686,3.360045141,0.007430444,0.387239231,-2.355031227
Taf1a,0.63357672,4.219299551,3.351997377,0.007530818,0.387239231,-2.329898497
Cops9,0.771014261,3.48652616,3.334372586,0.007755559,0.387239231,-2.309383366
Zcrb1,0.662062584,5.747212906,3.325007709,0.007877779,0.387239231,-2.440921831
Mrpl51,0.606649083,6.547469191,3.322108331,0.00791602,0.387239231,-2.462043993
Ttll13,2.205886783,-1.151572811,3.319837623,0.007946103,0.387239231,-2.826678918
Micu2,0.589260496,4.201685517,3.319161516,0.007955083,0.387239231,-2.380940779
Apoo,0.627503573,6.164889815,3.318294206,0.007966618,0.387239231,-2.461550936
Gm48641,1.787210895,0.138662159,3.307217843,0.008115456,0.387239231,-2.451056709
Gm48270,1.701559776,3.098342607,3.302879616,0.00817453,0.387239231,-2.330834103
Pdcl3,0.636975632,4.649701593,3.296548141,0.008261542,0.387239231,-2.442652773
Vmn1r60,1.928832326,-0.150343662,3.293400654,0.008305152,0.387239231,-2.539265066
Gm48443,1.752602123,3.95309497,3.292457261,0.008318269,0.387239231,-2.407399072
3830403N18Rik,1.549412131,0.07682433,3.281489765,0.008472341,0.387239231,-2.494346919
Nexn,0.616245885,8.288306921,3.278074121,0.008520923,0.387239231,-2.546510379
Kcnma1,1.478257939,0.517856862,3.268300431,0.008661527,0.387239231,-2.418612135
Hspa8,0.503718496,9.853085946,3.253699985,0.008876033,0.387239231,-2.577041662
Chmp3,0.672662268,4.406676273,3.250851657,0.008918513,0.387239231,-2.502032934
Gm21897,1.316952148,4.787183271,3.24416819,0.009019015,0.387239231,-2.533784432
Gm20498,0.619170938,4.142563124,3.242812724,0.009039539,0.387239231,-2.498565729
Cpa6,1.727438635,0.537179661,3.242600487,0.009042757,0.387239231,-2.446476119
Cep63,0.707676163,4.272079908,3.241164713,0.009064557,0.387239231,-2.509342568
Nr4a3,1.741524485,1.463567632,3.239086397,0.00909621,0.387239231,-2.366912238
Xirp2,0.863084525,9.63248899,3.230046935,0.009235209,0.387239231,-2.618186631
Rnf20,0.515395514,4.791446917,3.228246638,0.009263152,0.387239231,-2.559574136
Gm14416,4.410654741,1.086501953,3.226271352,0.009293911,0.387239231,-2.403077453
Slc22a1,1.803652669,1.311900993,3.225135894,0.009311639,0.387239231,-2.391415806
Ica1,0.721700209,4.220692936,3.222486354,0.009353144,0.387239231,-2.535877814
Olfr646,2.538761003,-0.553508451,3.219785412,0.009395649,0.387239231,-2.725995664
Olfr344,1.323483516,2.474726703,3.21139006,0.00952904,0.387239231,-2.429116998
Gng5,0.643485721,5.560854656,3.207562902,0.009590493,0.387239231,-2.625158249
Gm47191,0.990958288,3.832511687,3.202110385,0.009678749,0.387239231,-2.541957105
Cacng4,2.329529168,-0.945718411,3.200550383,0.009704152,0.387239231,-2.860622613
Gm2451,1.856209842,0.649645982,3.196588226,0.009768981,0.387239231,-2.486334268
Bnip2,0.56392715,4.938107273,3.194427892,0.009804516,0.387239231,-2.621336582
Gm48216,1.474316507,4.138754072,3.186020618,0.009944074,0.387239231,-2.58871489
Gm47628,1.100767619,2.242066331,3.183460147,0.00998698,0.387239231,-2.458091457
Gm29216,0.793250427,11.59515597,3.18001947,0.010044936,0.387239231,-2.668460185
Vmn1r191,1.649439089,0.485349416,3.178554161,0.010069723,0.387239231,-2.532387343
Hspd1,0.604570263,7.530146702,3.175999505,0.010113087,0.387239231,-2.709954761
Dnajc2,0.625927143,5.581036889,3.175506858,0.010121471,0.387239231,-2.677737608
AC117188.2,1.496892401,1.137006899,3.175014361,0.01012986,0.387239231,-2.467869966
Nap1l4,0.508945389,5.186241129,3.174089713,0.01014563,0.387239231,-2.665325713
Wdr83,0.612930983,3.655886685,3.172575496,0.010171509,0.387239231,-2.575573841
Atxn1,0.483796316,5.753606067,3.17055944,0.010206069,0.387239231,-2.691060834
Ap1g2,0.824217539,2.867736436,3.161956079,0.010354912,0.387239231,-2.531060647
Ccser2,0.573693519,6.847334295,3.159981206,0.010389392,0.387239231,-2.729570056
Vmn2r65,1.783701015,-0.523218321,3.150587742,0.010555012,0.387239231,-2.78497181
Polr3gl,0.549432491,4.688042511,3.149560185,0.010573293,0.387239231,-2.680568002
Ncl,0.539932626,6.631923652,3.149189975,0.010579887,0.387239231,-2.744188099
Rnf219,1.105877855,2.508735596,3.148909443,0.010584887,0.387239231,-2.525282354
Gmnc,2.067776587,-0.905339231,3.146010022,0.010636702,0.387239231,-2.896864604
Gm15807,2.741014037,1.680890327,3.14118547,0.010723499,0.387239231,-2.502310275
Gm14421,0.890377283,4.734676127,3.138843448,0.010765894,0.387239231,-2.70038876
Tnnt2,0.616302501,13.72283236,3.138329922,0.010775213,0.387239231,-2.701281394
Psmd14,0.677827334,3.317538443,3.136439653,0.010809587,0.387239231,-2.605792344
Usp53,0.820739317,4.45089147,3.134767254,0.010840092,0.387239231,-2.690482855
Gm48132,1.443272847,4.855189586,3.132224842,0.010886636,0.387239231,-2.717426207
Ddx23,0.541232079,5.659810299,3.132106971,0.010888799,0.387239231,-2.750668061
Mapkapk5,0.634051303,5.945086808,3.126115917,0.01099931,0.387239231,-2.768335498
Sirt5,0.506828893,5.501525387,3.125752102,0.011006058,0.387239231,-2.75570428
AC119928.2,0.870641315,3.275834179,3.125192481,0.011016446,0.387239231,-2.619963563
Psmd7,0.503339955,6.175848919,3.119388312,0.011124778,0.387239231,-2.784553119
Rbm11,1.73778081,-0.875926676,3.117348996,0.011163099,0.387239231,-2.914173916
Vdac3,0.54877976,8.251674424,3.116409274,0.011180803,0.387239231,-2.80989509
Hba-a1,0.583954507,5.64635986,3.114403362,0.01121869,0.387239231,-2.778962832
Cox20,0.580282542,5.615769167,3.108587882,0.011329275,0.387239231,-2.787409044
Cd209c,1.086382017,1.170497957,3.108480315,0.01133133,0.387239231,-2.555489579
Ino80c,0.652654041,3.650201538,3.104711683,0.011403602,0.387239231,-2.682256989
Usp16,0.952493626,4.988769182,3.104208677,0.011413283,0.387239231,-2.769266344
Scrn3,0.623002527,4.774825367,3.102327942,0.011449558,0.387239231,-2.761337733
Sh3kbp1,0.533186534,7.946172489,3.099436652,0.011505554,0.387239231,-2.836945405
Gm14735,1.539084979,1.022392036,3.099113229,0.011511835,0.387239231,-2.575628397
Hint1,0.569611993,6.34822575,3.095850203,0.011575402,0.387239231,-2.826253581
Olfr1352,2.446667019,-0.391226518,3.09450402,0.011601732,0.387239231,-2.807179642
Caps2,1.833350901,2.564319875,3.09435882,0.011604575,0.387239231,-2.611704595
Rpl36,0.615316574,5.385531746,3.093358449,0.011624186,0.387239231,-2.80395182
Tmem218,0.656938356,3.288392273,3.090479972,0.011680802,0.387239231,-2.67524163
F8,0.878843329,2.403780794,3.089686245,0.011696464,0.387239231,-2.607489413
Gm44578,1.449794174,2.164762818,3.089516224,0.011699821,0.387239231,-2.593235631
Gm17535,2.224700448,-0.613885523,3.085797626,0.011773502,0.387239231,-2.872228779
Vmn2r102,1.212603678,2.098252304,3.085035651,0.011788659,0.387239231,-2.596425741
Gm13461,0.698229807,4.366384564,3.083712223,0.01181503,0.387239231,-2.767085886
Swi5,0.604279427,6.350917833,3.079835785,0.011892623,0.387239231,-2.852381839
Aifm1,0.484197454,7.856242452,3.079716693,0.011895015,0.387239231,-2.868795772
Gm14917,1.694016678,1.762390795,3.07479512,0.011994298,0.387239231,-2.598569737
Cox7a2l,0.567037028,6.841684746,3.071991618,0.012051232,0.387239231,-2.872898934
Psmc3ip,0.950940239,2.038325814,3.062878648,0.012238213,0.390101158,-2.626095201
Slc1a1,0.843230108,2.289699977,3.061406349,0.012268698,0.390101158,-2.642403274
Olfr851,2.001849977,-0.125922648,3.057730672,0.012345146,0.390101158,-2.785327356
Arl6ip4,0.62958267,4.607641408,3.047884012,0.012552346,0.392166377,-2.839508988
Ptgds,1.045742578,7.492719101,3.046783273,0.012575728,0.392166377,-2.920497623
Olfr152,1.247675865,3.032277566,3.039470287,0.012732203,0.392166377,-2.733310112
Chkb,0.849531798,3.282244717,3.038967539,0.012743033,0.392166377,-2.755315419
Gm48415,1.17882655,5.461227102,3.037606713,0.012772395,0.392166377,-2.89721982
Iah1,0.806591388,2.889846387,3.035379961,0.012820588,0.392166377,-2.72763838
Mfap1b,0.550481092,6.806347696,3.029694443,0.012944484,0.392166377,-2.941428067
Ccdc181,0.536958303,3.902373482,3.027545556,0.012991628,0.392166377,-2.824233469
Dctpp1,0.782065345,2.670201193,3.018619525,0.013189338,0.392166377,-2.735243314
Arl3,0.457615541,5.153975831,3.00576519,0.013479461,0.392979472,-2.936245028
Commd1,0.60251723,5.749397987,3.000102675,0.01360932,0.392979472,-2.967805419
Coro1a,1.005800996,1.610724444,2.999437144,0.013624666,0.392979472,-2.702684998
Cox7a1,0.682225296,8.167351357,2.998956213,0.013635766,0.392979472,-3.001609533
Gm8226,0.559503342,5.589986149,2.995296874,0.01372053,0.392979472,-2.970475813
Tnfsf15,2.129925208,-0.507692131,2.992636761,0.013782485,0.392979472,-2.938177046
Rpl31-ps9,3.869494722,-1.521804816,2.986177148,0.013934119,0.392979472,-3.208022348
Rpl32,0.543793076,6.773500323,2.982739439,0.014015508,0.392979472,-3.017571885
2610001J05Rik,0.551403474,5.18402385,2.981579345,0.014043082,0.392979472,-2.976757803
Gm47974,1.185740854,1.44318283,2.981292144,0.014049917,0.392979472,-2.725777763
Pnck,0.818141671,2.687052652,2.97900302,0.014104517,0.392979472,-2.797217586
Nudt6,0.834307486,4.652728303,2.975137629,0.014197204,0.394441685,-2.959363903
Mt1,0.651250291,6.907492325,2.966057549,0.014417378,0.395501577,-3.046542208
Pou1f1,1.138397289,2.266797841,2.963830332,0.014471911,0.395501577,-2.786766032
Ryr1,1.672631699,-0.384755288,2.963693571,0.014475267,0.395501577,-2.94036657
Crem,0.919373282,2.515152552,2.960023187,0.014565616,0.395501577,-2.811717374
Gm2099,1.794429987,-1.084604254,2.956987066,0.014640785,0.395501577,-3.113932333
Coa3,0.570544717,3.89250556,2.952754894,0.014746225,0.395501577,-2.942500437
Rpgrip1,1.849572598,-0.602717982,2.952041211,0.014764082,0.395501577,-3.000529597
Sod1,0.53299613,9.87200628,2.951677106,0.0147732,0.395501577,-3.068892646
Dynlt1f,1.104003876,2.776533917,2.947389421,0.01488101,0.395501577,-2.85350368
Cetn3,0.684829943,5.145781277,2.945601451,0.014926203,0.395501577,-3.033305103
Olfr1039,1.804466908,1.82297922,2.941264768,0.015036397,0.395501577,-2.793522947
Slc35f3,2.140560822,-1.090881994,2.940802142,0.015048201,0.395501577,-3.12976995
Gm6563,0.876324918,3.924754754,2.934823111,0.015201605,0.395501577,-2.973622359
Gm48501,0.803759346,3.858579263,2.931178256,0.015295899,0.395501577,-2.974111299
Vmn1r201,1.36287205,0.699958003,2.92641827,0.015419937,0.395501577,-2.822062372
Sarm1,1.966363349,-1.035959661,2.9251488,0.01545319,0.395501577,-3.129774089
Optn,0.521161007,7.801524468,2.919599874,0.015599394,0.395501577,-3.13010067
Sfr1,0.531441072,6.07273752,2.919311216,0.015607038,0.395501577,-3.107960015
Cox17,0.662918375,6.348426947,2.908779715,0.015888536,0.395501577,-3.131039094
Mid1,1.261213843,4.175830933,2.908139899,0.015905803,0.395501577,-3.035356579
Kifc1,1.547008574,0.057191426,2.905367399,0.015980845,0.395501577,-2.921911759
AI597479,0.539348284,4.608923619,2.903456011,0.016032788,0.395501577,-3.072140728
Tmem107,1.842648402,-0.569338645,2.902942597,0.01604677,0.395501577,-3.041999186
Eef1g,0.440614863,5.633780338,2.899289214,0.016146618,0.395501577,-3.127961389
mt-Co2,0.647114061,11.38581849,2.899095633,0.016151926,0.395501577,-3.12805792
BC035947,1.704353019,-0.636785902,2.898392506,0.016171221,0.395501577,-3.061172588
Nrd1,0.486079843,5.433274487,2.898278203,0.01617436,0.395501577,-3.122258464
Bag1,0.467590121,7.923751948,2.896941263,0.01621112,0.395501577,-3.167628938
Vmn2r114,0.992533235,4.507342281,2.896568099,0.016221396,0.395501577,-3.076804265
Gm4459,0.627354817,8.378600604,2.892955313,0.01632122,0.395501577,-3.174974277
Denr,0.63277894,5.272797025,2.891747415,0.016354734,0.395501577,-3.126285173
Tomm5,0.772801228,5.95288532,2.88919181,0.016425871,0.395501577,-3.153939891
Ndufc1,0.640258113,6.185272205,2.888450763,0.016446557,0.395501577,-3.160769034
B230118H07Rik,0.589011795,5.168776296,2.888267092,0.016451688,0.395501577,-3.127196137
Higd1a,0.773638461,5.949743234,2.885626308,0.016525643,0.395501577,-3.159656135
Ensa,0.50948639,4.581289483,2.885146987,0.016539102,0.395501577,-3.099902943
Smim11,0.645705631,5.77474991,2.883840594,0.016575842,0.395501577,-3.15758865
Crb1,1.181782078,0.507788299,2.883820785,0.0165764,0.395501577,-2.891672662
Gm42785,1.344056791,4.237417948,2.881428916,0.016643883,0.395501577,-3.082533483
Gm48040,1.644185364,0.223584736,2.879783046,0.016690481,0.395501577,-2.928042261
Atp5md,0.784892739,7.049044794,2.879388755,0.016701664,0.395501577,-3.189635813
Mtmr6,0.659857439,5.901111586,2.878175756,0.016736114,0.395501577,-3.170483336
Rpl18,0.469411937,6.552606007,2.872742417,0.016891311,0.395501577,-3.193500896
Rps7,0.681495922,5.91143948,2.871855215,0.016916791,0.395501577,-3.181034895
Eif1ad,0.625066187,3.233640845,2.870452949,0.016957142,0.395501577,-3.014821019
Tuba4a,0.462518431,9.087695918,2.867702063,0.017036584,0.395501577,-3.214167177
Msantd4,0.518033047,6.380501724,2.867019311,0.01705636,0.395501577,-3.199693827
Anp32e,0.554431041,5.431735806,2.863013053,0.017172867,0.395501577,-3.179400994
Gm37515,1.380770769,4.031113472,2.862605397,0.017184767,0.395501577,-3.097108665
Vmn2r89,1.423632101,1.45785893,2.857402318,0.017337388,0.395501577,-2.899954683
Rpl10a-ps1,1.156141901,3.068122689,2.857194532,0.017343512,0.395501577,-3.019847843
Pink1,0.463808164,8.891778586,2.857041959,0.017348009,0.395501577,-3.232614288
Ubxn1,0.489151551,6.918312336,2.856643601,0.017359758,0.395501577,-3.225163154
Hif1an,0.669004671,6.492169617,2.851345428,0.017516783,0.395501577,-3.227288425
Gm47842,1.384534101,2.065757594,2.848928857,0.01758888,0.395501577,-2.943295553
Meig1,1.084043254,0.513630337,2.846575977,0.017659365,0.395501577,-2.937572249
Vmn1r229,1.04919874,2.831667967,2.846449691,0.017663156,0.395501577,-3.014082922
Tmem252,0.5036711,5.61367087,2.842973107,0.01776785,0.395501577,-3.218704441
Agtpbp1,0.488354559,6.602053798,2.841053595,0.017825923,0.395501577,-3.245967546
Hnrnpa3,0.42412699,6.446390605,2.839773552,0.017864755,0.395501577,-3.245314181
Vmn2r4,1.323044894,1.817411701,2.838859205,0.017892546,0.395501577,-2.941939845
Olfr1385,1.048054723,3.997754039,2.838104722,0.017915511,0.395501577,-3.133598763
Pstpip2,0.679539661,4.492761214,2.838023999,0.01791797,0.395501577,-3.169951647
Utp18,0.688605613,3.410996505,2.837272539,0.017940876,0.395501577,-3.083681571
Cox6a2,0.52549663,9.72652737,2.835458202,0.017996301,0.395501577,-3.260464773
Ccdc163,1.287192467,0.954292854,2.835362077,0.017999243,0.395501577,-2.928834002
1110032A03Rik,0.816045566,1.98753251,2.830799726,0.018139406,0.395501577,-2.964508117
Nudt14,0.84505694,4.386552045,2.830364983,0.018152819,0.395501577,-3.174999011
Tec,0.599885387,5.10180424,2.82910108,0.018191872,0.395501577,-3.219773942
Cox14,0.585813536,5.143068293,2.82784064,0.018230903,0.395501577,-3.223796869
Cd300lf,0.952881547,2.362359932,2.827625529,0.018237572,0.395501577,-2.999009317
Mrps21,0.538809942,4.810136387,2.827313084,0.018247264,0.395501577,-3.2069712
Gm13339,0.91150308,1.389804184,2.826399081,0.018275645,0.395501577,-2.941706792
Dnajc8,0.481508931,5.516386001,2.824997425,0.018319256,0.395802011,-3.244313073
Adgrg4,3.268802133,-0.636032533,2.817428449,0.018556575,0.395802011,-3.141280465
Gm12669,0.999642258,2.716459624,2.816213867,0.018594945,0.395802011,-3.049467082
Gm47626,1.285616421,5.061289314,2.815334991,0.01862276,0.395802011,-3.239986097
Fgd4,0.469632747,5.705702129,2.812154976,0.018723753,0.395802011,-3.271856642
Psg19,0.983044555,2.140487581,2.811282599,0.018751555,0.395802011,-3.004788305
Pde4dip,0.474228622,11.80245963,2.808928315,0.018826792,0.395802011,-3.266770153
Vmn1r168,1.600909228,1.830724846,2.808791839,0.018831162,0.395802011,-2.986460012
Ccdc66,0.47790967,4.346145774,2.807684488,0.018866664,0.395802011,-3.208555219
Ndufab1,0.519741486,4.595831317,2.807534827,0.018871467,0.395802011,-3.225689428
Vmn2r59,1.43769867,2.351479348,2.805148937,0.018948208,0.39605618,-3.031906516
Akr1a1,0.445433998,7.025807057,2.802376859,0.019037766,0.39605618,-3.314916617
Usp17la,1.294550681,2.004842481,2.796792418,0.019219482,0.39605618,-3.015845813
Rpl19-ps11,0.649080264,7.153378418,2.791017971,0.01940922,0.39605618,-3.334837961
Ndufs7,0.50664811,8.506268317,2.788846502,0.019481057,0.39605618,-3.34481766
Chchd7,0.636102684,6.058493286,2.786822173,0.019548269,0.39605618,-3.323097905
Nfe2l1,0.53559771,10.22337308,2.785906992,0.019578731,0.39605618,-3.333397919
Thnsl2,0.857707423,2.706479957,2.783111086,0.019672091,0.39605618,-3.099281001
Gm21750,1.206837327,3.093871481,2.78090105,0.019746205,0.39605618,-3.141100238
Olfr571,1.656542003,-0.656300025,2.778353737,0.019831979,0.39605618,-3.184149434
LT629149.4,3.826030453,-1.257458822,2.777853318,0.019848873,0.39605618,-3.311627211
Cldn12,0.550286994,3.955055399,2.775119232,0.019941432,0.39605618,-3.230485379
Pkib,1.180104997,1.897631351,2.771797139,0.020054483,0.39605618,-3.04485706
Acta2,0.60316503,6.685551408,2.770823469,0.02008774,0.39605618,-3.36162009
Pnkd,0.666989141,7.024603737,2.766578211,0.020233388,0.39605618,-3.373187046
Vmn1r26,1.251462499,2.284242495,2.76277593,0.020364741,0.39605618,-3.089575611
Gfer,0.534121455,4.88083489,2.762161901,0.020386034,0.39605618,-3.316111103
Trak2,0.550453999,6.090520308,2.760831232,0.020432254,0.39605618,-3.366075799
